"","Food code","Main food description","WWEIA Category code","WWEIA Category description","Energy (kcal)","Protein (g)","Carbohydrate (g)","Sugars, total (g)","Fiber, total dietary (g)","Total Fat (g)","Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)","Cholesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)","Lycopene (mcg)","Lutein + zeaxanthin (mcg)","Thiamin (mg)","Riboflavin (mg)","Niacin (mg)","Vitamin B-6 (mg)","Folic acid (mcg)","Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)","Vitamin B-12 (mcg)","Vitamin B-12, added (mcg)","Vitamin C (mg)","Vitamin D (D2 + D3) (mcg)","Vitamin E (alpha-tocopherol) (mg)","Vitamin E, added (mg)","Vitamin K (phylloquinone) (mcg)","Calcium (mg)","Phosphorus (mg)","Magnesium (mg)","Iron (mg)","Zinc (mg)","Copper (mg)","Selenium (mcg)","Potassium (mg)","Sodium (mg)","Caffeine (mg)","Theobromine (mg)","Alcohol (g)","4:0    (g)","6:0    (g)","8:0    (g)","10:0    (g)","12:0    (g)","14:0    (g)","16:0    (g)","18:0    (g)","16:1        (g)","18:1    (g)","20:1    (g)","22:1    (g)","18:2    (g)","18:3    (g)","18:4    (g)","20:4    (g)","20:5 n-3 (g)","22:5 n-3 (g)","22:6 n-3 (g)","Water (g)","Group"
"222",14132000,"Queso Chihuahua",1602,"Cheese",374,21.56,5.56,5.56,0,29.68,18.843,8.443,0.892,105,56,56,0,4,0,0,0,0.018,0.225,0.15,0.055,0,2,2,2,15.4,1.03,0,0,0.5,0.26,0,2.5,651,442,23,0.47,3.5,0.024,14.5,52,617,0,0,0,0.898,0.47,0.253,0.552,0.503,3.121,9.247,3.8,0.947,7.496,0,0,0.547,0.346,0,0,0,0,0,39.13,"Dairy Foods"
"223",14133000,"Queso Fresco",1602,"Cheese",299,18.09,2.98,2.32,0,23.82,12.94,5.966,1.106,69,221,224,0,41,2,0,3,0.042,0.173,0.027,0.076,0,7,7,7,12.5,1.68,0,0,2.7,0.37,0,1,566,385,24,0.2,2.58,0.033,19.3,129,751,0,0,0,0.486,0.387,0.244,0.569,0.651,2.127,5.646,2.405,0.408,5.298,0.038,0.003,0.887,0.108,0.006,0.035,0.008,0.015,0.003,51.42,"Dairy Foods"
"224",14134000,"Queso cotija",1602,"Cheese",366,20,3.97,0,0,30,17.5,8.333,1.187,100,223,229,0,73,0,0,0,0.029,0.486,0.114,0.049,0,10,10,10,15.4,2.26,0,0,0.5,0.25,0,1.9,800,729,38,0,3.87,0.238,17.7,125,1400,0,0,0,1.583,0.592,0.055,0.544,0.825,2.745,7.747,3.409,0.521,7.627,0.185,0,0.989,0.199,0,0,0,0,0,38,"Dairy Foods"
"225",14200100,"Cheese, cottage, NFS",1604,"Cottage/ricotta cheese",81,10.45,4.76,4,0,2.27,1.235,0.516,0.083,12,68,68,0,6,0,0,0,0.02,0.251,0.103,0.057,0,8,8,8,16.3,0.47,0,0,0,0.08,0,0,111,150,9,0.13,0.51,0.033,11.9,125,308,0,0,0,0.04,0.034,0.027,0.06,0.061,0.199,0.561,0.218,0.03,0.46,0.003,0,0.07,0.007,0,0.003,0.001,0.001,0,81.24,"Dairy Foods"
"226",14201010,"Cheese, cottage, creamed, large or small curd",1604,"Cottage/ricotta cheese",98,11.12,3.38,2.67,0,4.3,1.718,0.778,0.123,17,36,37,0,12,0,0,0,0.027,0.163,0.099,0.046,0,12,12,12,18.4,0.43,0,0,0.1,0.08,0,0,83,159,8,0.07,0.4,0.029,9.7,104,364,0,0,0,0.109,0.025,0.023,0.064,0.07,0.263,0.778,0.345,0.047,0.714,0,0,0.105,0.017,0,0,0,0,0,79.79,"Dairy Foods"
"227",14201200,"Cottage cheese, farmer's",1604,"Cottage/ricotta cheese",143,10.49,3.18,2.52,0,9.8,5.198,2.394,0.329,31,82,83,0,22,0,0,0,0.025,0.154,0.093,0.043,0,11,11,11,18.6,0.41,0,0,0.1,0.24,0,0.5,78,150,8,0.07,0.38,0.027,9.1,98,343,0,0,0,0.289,0.134,0.086,0.205,0.227,0.826,2.245,1.022,0.173,2.119,0,0,0.229,0.1,0,0,0,0,0,75.19,"Dairy Foods"
"228",14201500,"Cheese, Ricotta",1604,"Cottage/ricotta cheese",156,11.32,4.09,0.29,0,10.44,6.611,2.97,0.322,41,111,114,0,26,0,0,0,0.017,0.19,0.091,0.032,0,12,12,12,16.9,0.32,0,0,0.2,0.09,0,0.9,240,170,13,0.41,1.25,0.028,15.6,115,92,0,0,0,0.414,0.079,0.096,0.19,0.132,1.086,3.25,1.074,0.404,2.396,0,0,0.232,0.091,0,0,0,0,0,73.06,"Dairy Foods"
"229",14202010,"Cheese, cottage, with fruit",1604,"Cottage/ricotta cheese",97,10.69,4.61,2.38,0.2,3.85,2.311,1.036,0.124,13,37,38,0,14,0,0,0,0.033,0.142,0.15,0.068,0,11,11,11,17.5,0.53,0,1.4,0,0.04,0,0.4,53,113,7,0.16,0.33,0.04,7.7,90,344,0,0,0,0.123,0.027,0.031,0.07,0.061,0.401,1.159,0.438,0.137,0.899,0,0,0.088,0.037,0,0,0,0,0,79.64,"Dairy Foods"
"230",14202020,"Cheese, cottage, with vegetables",1604,"Cottage/ricotta cheese",95,10.9,3,0.37,0.1,4.2,2.646,1.189,0.14,14,41,53,0,142,0,0,16,0.01,0.13,0.1,0.05,0,17,17,17,17.5,0.49,0,4,0,0.05,0,11,56,128,4,0.1,0.29,0.028,4.5,86,403,0,0,0,0.13,0.028,0.037,0.074,0.065,0.436,1.264,0.482,0.148,0.985,0,0,0.103,0.037,0,0,0,0,0,80.3,"Dairy Foods"
"231",14203010,"Cheese, cottage, dry curd",1604,"Cottage/ricotta cheese",72,10.34,6.66,1.85,0,0.29,0.169,0.079,0.003,7,2,2,0,0,0,0,0,0.023,0.226,0.144,0.016,0,9,9,9,17.9,0.46,0,0,0,0.01,0,0,86,190,11,0.15,0.47,0.03,9.4,137,372,0,0,0,0.007,0.002,0.005,0.009,0.006,0.02,0.07,0.05,0.012,0.067,0,0,0.003,0,0,0,0,0,0,81.01,"Dairy Foods"
